ENTIDAD FEDERATIVA;PROGRAMA DE ESTUDIOS;Lugares Ofertados;Solicitudes de Primer Ingreso Hombres;Solicitudes de Primer Ingreso Mujeres;Solicitudes de Primer Ingreso;Primer Ingreso Hombres;Primer Ingreso Mujeres;Primer Ingreso Total;Matrícula Hombres;Matrícula Mujeres;Matrícula Total;Egresados Hombres;Egresados Mujeres;Egresados Total
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACÍON ÁREA FACTURACIÓN Y COBRANZA;100;15;20;35;8;10;18;14;28;42;0;6;6
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN AUTOMATIZADA DE NEGOCIOS;24;0;0;0;0;0;0;31;30;61;0;1;1
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN AUTOMATIZADA DE RECURSOS HUMANOS;24;0;0;0;2;1;3;11;18;29;1;0;1
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN BANCARIA Y BURSÁTIL;0;0;0;0;0;0;0;7;1;8;7;1;8
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN CON ACENTUACIÓN EN SISTEMAS;60;27;24;51;27;24;51;58;41;99;0;0;0
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN CULINARIA;30;12;12;24;11;11;22;16;15;31;0;0;0
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS;1182;512;489;1001;397;345;742;1993;1575;3568;699;553;1252
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS (MERCADOTECNIA);50;5;5;10;1;2;3;12;5;17;1;0;1
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS ÁREA FACTURACIÓN Y COBRANZA;0;0;0;0;0;0;0;6;18;24;0;6;6
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS COMERCIALES;48;35;16;51;32;16;48;53;27;80;0;0;0
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS;160;82;169;251;36;73;109;137;330;467;26;87;113
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE LA NUTRICIÓN;55;9;29;38;2;4;6;3;8;11;2;6;8
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE RECURSOS HUMANOS;0;0;3;3;0;3;3;7;7;14;0;0;0
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE SERVICIOS ALIMENTARIOS;60;93;80;173;17;10;27;105;79;184;30;24;54
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE SISTEMAS COMPUTACIONALES;1;1;0;1;0;0;0;1;0;1;0;0;0
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE SISTEMAS DE SALUD;11;1;10;11;1;9;10;12;36;48;0;0;0
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DE TECNOLOGÍAS DE INFORMACIÓN;56;9;3;12;7;3;10;64;20;84;25;13;38
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN DEL CAPITAL HUMANO;0;0;0;0;0;0;0;1;4;5;0;4;4
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN EJECUTIVA DE EMPRESAS;100;15;28;43;8;19;27;47;94;141;1;10;11
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN EN TECNOLOGÍAS DE INFORMACIÓN;20;2;0;2;2;0;2;28;8;36;1;1;2
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN ESTRATÉGICA DE NEGOCIOS;20;15;15;30;6;8;14;20;35;55;0;0;0
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN FINANCIERA;119;59;44;103;45;26;71;387;244;631;119;65;184
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN GASTRONÓMICA;83;14;11;25;14;11;25;131;123;254;11;14;25
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN GUBERNAMENTAL;12;0;0;0;0;0;0;13;7;20;1;1;2
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN INTEGRAL DE EMPRESAS;100;13;18;31;7;10;17;26;43;69;2;3;5
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN PÚBLICA Y CIENCIAS POLÍTICAS;60;0;0;0;0;0;0;9;9;18;0;0;0
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN Y ESTRATEGIA DE NEGOCIOS;134;65;69;134;16;20;36;283;174;457;60;36;96
NUEVO LEÓN;LICENCIATURA EN ADMINISTRACIÓN Y FINANZAS;0;0;0;0;0;0;0;55;26;81;9;8;17
NUEVO LEÓN;LICENCIATURA EN AGRONEGOCIOS INTERNACIONALES;10;0;0;0;0;0;0;71;18;89;14;4;18
NUEVO LEÓN;LICENCIATURA EN ANIMACIÓN;10;5;3;8;5;3;8;25;17;42;0;0;0
NUEVO LEÓN;LICENCIATURA EN ANIMACIÓN Y ARTE DIGITAL;71;36;35;71;25;14;39;195;181;376;0;0;0
NUEVO LEÓN;LICENCIATURA EN ANIMACIÓN Y EFECTOS DIGITALES;15;19;14;33;7;7;14;28;20;48;0;0;0
NUEVO LEÓN;LICENCIATURA EN ANTROPOLOGÍA;30;2;2;4;0;1;1;1;1;2;1;1;2
NUEVO LEÓN;LICENCIATURA EN ARQUITECTURA;340;175;115;290;120;83;203;636;564;1200;215;162;377
NUEVO LEÓN;LICENCIATURA EN ARQUITECTURA DE ESPACIOS INTERIORES;20;2;13;15;2;13;15;6;86;92;0;0;0
NUEVO LEÓN;LICENCIATURA EN ARQUITECTURA DE INTERIORES;0;0;0;0;0;0;0;5;28;33;3;34;37
NUEVO LEÓN;LICENCIATURA EN ARTE CINEMATOGRÁFICO;0;0;0;0;0;0;0;4;0;4;0;0;0
NUEVO LEÓN;LICENCIATURA EN ARTE CULINARIO;10;6;4;10;6;4;10;24;12;36;4;2;6
NUEVO LEÓN;LICENCIATURA EN ARTE DIGITAL Y NEGOCIOS MULTIMEDIA;15;4;5;9;4;5;9;27;42;69;0;0;0
NUEVO LEÓN;LICENCIATURA EN ARTE TEATRAL;40;20;26;46;10;15;25;36;81;117;10;14;24
NUEVO LEÓN;LICENCIATURA EN ARTES;40;11;25;36;4;10;14;18;81;99;0;12;12
NUEVO LEÓN;LICENCIATURA EN ARTES CULINARIAS;16;5;7;12;5;6;11;5;6;11;0;0;0
NUEVO LEÓN;LICENCIATURA EN ARTES VISUALES;34;34;55;89;10;21;31;70;95;165;6;6;12
NUEVO LEÓN;LICENCIATURA EN ARTES VISUALES T MEDIÁTICAS;0;0;0;0;0;0;0;2;6;8;5;10;15
NUEVO LEÓN;LICENCIATURA EN AUDITORÍA FISCAL;30;2;0;2;2;0;2;14;9;23;0;0;0
NUEVO LEÓN;LICENCIATURA EN BANCA Y FINANZAS;55;15;22;37;15;22;37;33;30;63;3;2;5
NUEVO LEÓN;LICENCIATURA EN BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN;30;5;4;9;3;3;6;20;29;49;3;3;6
NUEVO LEÓN;LICENCIATURA EN BIOCIENCIAS;0;0;0;0;0;0;0;1;0;1;6;0;6
NUEVO LEÓN;LICENCIATURA EN BIOTECNOLOGÍA DE LOS ALIMENTOS;0;0;0;0;0;0;0;0;0;0;0;2;2
NUEVO LEÓN;LICENCIATURA EN BIOTECNOLOGÍA GENÓMICA;126;115;123;238;59;67;126;291;248;539;9;9;18
NUEVO LEÓN;LICENCIATURA EN CANTO;12;3;8;11;0;4;4;5;12;17;0;1;1
NUEVO LEÓN;LICENCIATURA EN CIENCIA POLÍTICA;20;10;10;20;3;5;8;38;37;75;8;7;15
NUEVO LEÓN;LICENCIATURA EN CIENCIA POLÍTICA Y ADMINISTRACIÓN PÚBLICA;10;16;6;22;5;6;11;44;24;68;2;1;3
NUEVO LEÓN;LICENCIATURA EN CIENCIAS COMPUTACIONALES;138;111;40;151;93;30;123;440;171;611;76;46;122
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN;1172;590;544;1134;335;481;816;1928;2753;4681;320;567;887
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN CON ACENTUACIÓN EN PERIODISMO;15;9;2;11;9;2;11;9;2;11;1;1;2
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN CON ESPECIALIDAD EN COMUNICACIÓN Y DESARROLLO ORGANIZACI;2;1;1;2;1;1;2;4;3;7;0;0;0
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN;135;14;77;91;12;60;72;43;306;349;4;77;81
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ÁREA CIENCIAS SOCIALES;15;9;6;15;1;0;1;7;8;15;3;1;4
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ÁREA EN PSICOLOGÍA EDUCATIVA;4;1;3;4;0;0;0;1;3;4;0;0;0
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ÁREA FÍSICA Y MATEMÁTICAS;10;6;4;10;0;0;0;6;4;10;2;0;2
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ACENTUACIÓN EN ADMINISTRACIÓN EDUCATIVA;0;0;0;0;0;0;0;0;0;0;1;2;3
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ACENTUACIÓN EN IDIOMA INGLÉS;41;4;37;41;4;37;41;23;188;211;1;20;21
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ACENTUACIÓN EN ORIENTACIÓN FAMILIAR;0;0;0;0;0;0;0;0;0;0;0;2;2
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ACENTUACIÓN EN PEDAGOGÍA;24;2;19;21;0;18;18;8;82;90;3;13;16
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ACENTUACIÓN EN PSICOLOGÍA GENERAL;0;0;0;0;0;0;0;0;0;0;0;1;1
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ACENTUACIÓN EN PSICOLOGÍA LABORAL;0;0;0;0;0;0;0;0;0;0;1;0;1
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN LENGUA Y LITERATURA;16;1;15;16;1;6;7;2;21;23;0;3;3
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN QUÍMICO BIOLÓGICAS;5;2;3;5;0;0;0;2;3;5;2;2;4
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA ENFERMERÍA;12;3;9;12;1;2;3;5;20;25;0;0;0
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LA INFORMACIÓN Y COMUNICACIÓN;35;19;70;89;13;36;49;85;208;293;14;22;36
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DE LOS ALIMENTOS;32;29;47;76;16;16;32;101;124;225;15;21;36
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DEL DEPORTE;200;150;100;250;93;35;128;529;174;703;163;65;228
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DEL EJERCICIO;300;333;94;427;178;59;237;823;300;1123;125;42;167
NUEVO LEÓN;LICENCIATURA EN CIENCIAS DEL LENGUAJE;750;111;314;425;59;152;211;290;922;1212;21;85;106
NUEVO LEÓN;LICENCIATURA EN CIENCIAS HUMANAS;0;0;0;0;0;0;0;0;1;1;0;0;0
NUEVO LEÓN;LICENCIATURA EN CIENCIAS JURÍDICAS;636;108;71;179;88;49;137;501;291;792;88;60;148
NUEVO LEÓN;LICENCIATURA EN CIENCIAS JURÍDICAS Y SOCIALES;80;5;3;8;5;3;8;29;18;47;0;0;0
NUEVO LEÓN;LICENCIATURA EN CIENCIAS POLÍTICAS Y ADMINISTRACIÓN PÚBLICA;143;72;71;143;30;19;49;188;176;364;30;23;53
NUEVO LEÓN;LICENCIATURA EN CIENCIAS QUÍMICAS;24;11;13;24;5;6;11;35;31;66;5;6;11
NUEVO LEÓN;LICENCIATURA EN CIENCIAS RELIGIOSAS;0;0;0;0;0;0;0;0;1;1;0;0;0
NUEVO LEÓN;LICENCIATURA EN CIRUJANO DENTISTA;300;130;120;250;119;85;204;742;796;1538;1;2;3
NUEVO LEÓN;LICENCIATURA EN COMERCIALIZACIÓN Y VENTAS;100;25;25;50;12;6;18;126;29;155;32;9;41
NUEVO LEÓN;LICENCIATURA EN COMERCIO EXTERIOR;150;50;50;100;35;20;55;280;137;417;92;36;128
NUEVO LEÓN;LICENCIATURA EN COMERCIO INTERNACIONAL;245;132;107;239;93;72;165;437;279;716;78;65;143
NUEVO LEÓN;LICENCIATURA EN COMERCIO Y NEGOCIOS INTERNACIONALES;99;30;23;53;30;23;53;95;81;176;0;0;0
NUEVO LEÓN;LICENCIATURA EN COMPOSICIÓN;3;2;0;2;0;0;0;2;0;2;0;0;0
NUEVO LEÓN;LICENCIATURA EN COMUNICACIÓN;10;7;2;9;7;2;9;36;35;71;6;7;13
NUEVO LEÓN;LICENCIATURA EN COMUNICACIÓN GRÁFICA Y ESTRATEGIA DE MEDIOS;20;4;11;15;4;11;15;28;59;87;0;0;0
NUEVO LEÓN;LICENCIATURA EN COMUNICACIÓN SOCIAL;80;16;17;33;16;17;33;85;102;187;5;16;21
NUEVO LEÓN;LICENCIATURA EN COMUNICACIÓN VISUAL;47;20;27;47;6;10;16;20;27;47;1;5;6
NUEVO LEÓN;LICENCIATURA EN COMUNICACIÓN Y MEDIOS DIGITALES;83;27;56;83;14;23;37;49;124;173;0;0;0
NUEVO LEÓN;LICENCIATURA EN CONSEJERÍA;50;4;8;12;4;8;12;10;21;31;0;0;0
NUEVO LEÓN;LICENCIATURA EN CONTADOR PÚBLICO;910;493;410;903;493;410;903;2282;2269;4551;348;393;741
NUEVO LEÓN;LICENCIATURA EN CONTADOR PÚBLICO E INFORMÁTICA;35;12;13;25;12;13;25;26;22;48;0;0;0
NUEVO LEÓN;LICENCIATURA EN CONTADURÍA;38;18;20;38;18;20;38;41;57;98;6;6;12
NUEVO LEÓN;LICENCIATURA EN CONTADURÍA PÚBLICA;281;53;49;102;28;25;53;177;113;290;32;35;67
NUEVO LEÓN;LICENCIATURA EN CONTADURÍA PÚBLICA Y AUDITORÍA;270;113;81;194;30;26;56;141;88;229;33;36;69
NUEVO LEÓN;LICENCIATURA EN CONTADURÍA PÚBLICA Y FINANZAS;81;38;43;81;26;28;54;199;220;419;58;44;102
NUEVO LEÓN;LICENCIATURA EN CONTADURÍA Y FINANZAS;20;39;22;61;16;9;25;64;75;139;10;18;28
NUEVO LEÓN;LICENCIATURA EN CREACIÓN Y DESARROLLO DE EMPRESAS;36;21;15;36;13;15;28;20;18;38;0;0;0
NUEVO LEÓN;LICENCIATURA EN CRIMINOLOGÍA;740;457;413;870;339;297;636;1685;1677;3362;300;220;520
NUEVO LEÓN;LICENCIATURA EN CULTURA FÍSICA Y DEPORTE;50;40;12;52;40;12;52;123;34;157;0;0;0
NUEVO LEÓN;LICENCIATURA EN DANZA CLÁSICA;25;0;59;59;0;11;11;0;56;56;0;3;3
NUEVO LEÓN;LICENCIATURA EN DANZA CLÁSICA (PLAN ESPECIAL PARA VARONES);15;15;0;15;7;0;7;23;0;23;4;0;4
NUEVO LEÓN;LICENCIATURA EN DANZA CONTEMPORÁNEA;55;15;63;78;7;24;31;22;86;108;2;12;14
NUEVO LEÓN;LICENCIATURA EN DANZA FOLKLÓRICA;25;7;28;35;1;20;21;15;75;90;2;5;7
NUEVO LEÓN;LICENCIATURA EN DERECHO;1452;776;909;1685;583;661;1244;3704;3864;7568;572;621;1193
NUEVO LEÓN;LICENCIATURA EN DERECHO Y ASUNTOS INTERNACIONALES;10;5;5;10;5;5;10;21;8;29;4;0;4
NUEVO LEÓN;LICENCIATURA EN DERECHO Y CIENCIAS JURÍDICAS;380;152;152;304;121;108;229;930;803;1733;286;143;429
NUEVO LEÓN;LICENCIATURA EN DERECHO Y CIENCIAS SOCIALES;8;5;3;8;3;2;5;29;18;47;6;4;10
NUEVO LEÓN;LICENCIATURA EN DERECHO Y FINANZAS;48;26;22;48;21;11;32;60;39;99;0;0;0
NUEVO LEÓN;LICENCIATURA EN DESARROLLO DEL CAPITAL HUMANO;0;0;0;0;0;0;0;0;0;0;3;4;7
NUEVO LEÓN;LICENCIATURA EN DESARROLLO DOCENTE CON ESPECIALIDAD EN PSICOPEDAGOGÍA, ADMINISTRACIÓN Y GESTIÓN ESCO;24;4;20;24;4;20;24;22;42;64;3;4;7
NUEVO LEÓN;LICENCIATURA EN DESARROLLO E INNOVACIÓN EMPRESARIAL;0;0;0;0;0;0;0;27;52;79;0;0;0
NUEVO LEÓN;LICENCIATURA EN DESARROLLO HUMANO;0;0;0;0;0;0;0;15;14;29;4;4;8
NUEVO LEÓN;LICENCIATURA EN DESARROLLO Y ADMINISTRACIÓN DE EMPRESAS;120;2;5;7;2;5;7;2;5;7;0;0;0
NUEVO LEÓN;LICENCIATURA EN DIRECCIÓN DE NEGOCIOS;0;0;0;0;3;7;10;3;7;10;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO ARQUITECTÓNICO Y DECORACIÓN DE INTERIORES;150;2;6;8;2;9;11;2;19;21;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO DE IMAGEN;70;2;41;43;0;22;22;1;59;60;1;8;9
NUEVO LEÓN;LICENCIATURA EN DISEÑO DE INDUMENTARIA;25;1;15;16;1;15;16;1;43;44;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO DE INTERIORES;50;1;65;66;0;38;38;8;196;204;0;14;14
NUEVO LEÓN;LICENCIATURA EN DISEÑO DE LA MODA INTERNACIONAL;50;3;1;4;3;1;4;3;1;4;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO DE MODA INTERNACIONAL Y MERCADOTECNIA;50;4;36;40;2;5;7;3;10;13;0;3;3
NUEVO LEÓN;LICENCIATURA EN DISEÑO DE MODAS;110;22;41;63;2;22;24;5;65;70;0;4;4
NUEVO LEÓN;LICENCIATURA EN DISEÑO E INDUSTRIA DEL VESTIDO;25;0;0;0;0;0;0;3;12;15;0;27;27
NUEVO LEÓN;LICENCIATURA EN DISEÑO GRÁFICO;1082;492;651;1143;301;335;636;1642;2120;3762;335;382;717
NUEVO LEÓN;LICENCIATURA EN DISEÑO GRÁFICO DIGITAL;80;12;9;21;12;9;21;74;105;179;15;11;26
NUEVO LEÓN;LICENCIATURA EN DISEÑO GRÁFICO Y ANIMACIÓN;38;20;18;38;20;18;38;94;99;193;5;7;12
NUEVO LEÓN;LICENCIATURA EN DISEÑO GRÁFICO Y NUEVOS MEDIOS;0;0;0;0;0;0;0;12;22;34;22;29;51
NUEVO LEÓN;LICENCIATURA EN DISEÑO GRÁFICO Y PUBLICIDAD;50;1;3;4;1;3;4;4;5;9;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO GRÁFICO Y PUBLICITARIO;0;0;0;0;0;0;0;0;0;0;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO GRÁFICO, ANIMACIÓN Y MULTIMEDIA;10;0;1;1;0;1;1;6;2;8;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO INDUSTRIAL;625;222;342;564;106;181;287;781;978;1759;92;151;243
NUEVO LEÓN;LICENCIATURA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTO;0;0;0;0;0;0;0;10;8;18;11;12;23
NUEVO LEÓN;LICENCIATURA EN DISEÑO TEXTIL Y MODAS;20;4;46;50;2;28;30;7;160;167;1;14;15
NUEVO LEÓN;LICENCIATURA EN DISEÑO Y DESARROLLO DE PRODUCTOS;20;8;5;13;8;5;13;56;35;91;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO Y MERCADOTECNIA EN MODAS;0;0;0;0;0;0;0;0;0;0;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO Y NEGOCIOS DE LA MODA;30;2;22;24;2;22;24;11;123;134;0;0;0
NUEVO LEÓN;LICENCIATURA EN DISEÑO Y PRODUCCIÓN DE MODA EN INDUMENTARIA;0;0;0;0;0;0;0;0;21;21;3;39;42
NUEVO LEÓN;LICENCIATURA EN DOCENCIA TECNOLÓGICA;0;0;0;0;0;0;0;0;0;0;0;0;0
NUEVO LEÓN;LICENCIATURA EN ECONOMÍA;249;220;115;335;122;53;175;555;295;850;92;45;137
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN;316;53;206;259;53;206;259;238;1325;1563;27;209;236
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN BILINGÜE;50;7;30;37;7;30;37;11;76;87;0;0;0
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN BILINGÜE EN NIVEL BÁSICO;15;0;10;10;0;10;10;1;30;31;2;18;20
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN BILINGÜE EN NIVEL MEDIO;15;2;1;3;2;1;3;2;1;3;1;2;3
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN BILINGÜE EN NIVEL PREESCOLAR;15;0;9;9;0;9;9;0;33;33;0;8;8
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN CON ACENTUACIÓN EN DEPORTES Y ARBITRAJE;30;4;2;6;1;0;1;7;0;7;3;1;4
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN CON ACENTUACIÓN EN ENSEÑANZA DEL INGLÉS;25;3;22;25;1;19;20;3;65;68;1;12;13
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN AUDITIVA Y DE LENGUAJE;27;5;26;31;5;22;27;20;85;105;1;24;25
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN INTELECTUAL;26;5;26;31;2;24;26;14;92;106;3;25;28
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN MOTRIZ;24;5;26;31;1;23;24;9;83;92;2;21;23
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE ATENCIÓN VISUAL;16;5;27;32;2;14;16;7;68;75;3;15;18
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN FÍSICA;2229;56;12;68;20;4;24;77;27;104;16;9;25
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN FÍSICA Y DEPORTE;50;12;3;15;12;3;15;44;10;54;2;0;2
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN FÍSICA, RECREACIÓN Y DEPORTE;51;38;13;51;38;13;51;85;26;111;0;0;0
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN PREESCOLAR;716;32;1676;1708;7;528;535;39;2456;2495;9;623;632
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN PRIMARIA;798;897;1636;2533;323;488;811;971;1615;2586;130;260;390
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN BIOLOGÍA;50;54;71;125;22;28;50;76;131;207;12;20;32
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN EDUCACIÓN TECNOLÓGICA;0;0;0;0;0;0;0;7;11;18;8;11;19
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN ESPAÑOL;24;47;106;153;19;29;48;66;152;218;10;33;43
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN FÍSICA;42;32;13;45;29;13;42;70;44;114;16;10;26
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN FORMACIÓN CÍVICA Y ÉTICA;46;53;83;136;15;31;46;73;110;183;13;14;27
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN GEOGRAFÍA;44;48;48;96;18;26;44;78;99;177;18;16;34
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN HISTORIA;43;40;34;74;23;20;43;87;81;168;19;17;36
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN LENGUA EXTRANJERA (INGLÉS);50;28;69;97;15;35;50;53;112;165;7;19;26
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN MATEMÁTICAS;45;89;78;167;27;18;45;116;116;232;20;21;41
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN QUÍMICA;22;15;11;26;11;11;22;66;59;125;15;20;35
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN Y ADMINISTRACIÓN EDUCATIVA;70;16;40;56;16;40;56;21;51;72;0;0;0
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN Y DESARROLLO;114;17;71;88;13;59;72;23;152;175;0;0;0
NUEVO LEÓN;LICENCIATURA EN EDUCACIÓN Y GESTIÓN DE CENTROS EDUCATIV0S;450;100;300;400;65;250;315;415;786;1201;170;296;466
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE CLARINETE;3;3;0;3;2;0;2;6;1;7;0;1;1
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE CONTRABAJO;2;1;0;1;1;0;1;1;0;1;0;0;0
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE FLAUTA;6;1;2;3;1;2;3;4;5;9;0;0;0
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE GUITARRA;20;15;2;17;14;1;15;27;2;29;2;0;2
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE PERCUSIONES;15;8;4;12;6;3;9;23;4;27;0;1;1
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE PIANO;15;7;6;13;7;6;13;22;14;36;0;0;0
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE TROMBÓN;3;0;0;0;0;0;0;2;0;2;0;0;0
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE TROMPETA;5;1;1;2;1;1;2;2;3;5;0;0;0
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE VIOLA;2;0;1;1;0;1;1;3;2;5;0;0;0
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE VIOLÍN;6;0;3;3;0;3;3;5;11;16;0;0;0
NUEVO LEÓN;LICENCIATURA EN EJECUCIÓN DE VIOLONCELLO;6;0;2;2;0;2;2;2;7;9;0;0;0
NUEVO LEÓN;LICENCIATURA EN EJECUTANTE DE OBOE;2;0;0;0;0;0;0;3;0;3;0;0;0
NUEVO LEÓN;LICENCIATURA EN EJECUTANTE DE TUBA;2;0;0;0;0;0;0;1;0;1;0;0;0
NUEVO LEÓN;LICENCIATURA EN ENFERMERÍA;1273;380;789;1169;292;508;800;893;2262;3155;54;279;333
NUEVO LEÓN;LICENCIATURA EN ENFERMERÍA Y OBSTETRICIA;50;4;24;28;2;21;23;9;62;71;1;17;18
NUEVO LEÓN;LICENCIATURA EN ENSEÑANZA DE LA DANZA CON ESPECIALIDAD EN CLÁSICO;20;1;10;11;1;7;8;2;28;30;0;5;5
NUEVO LEÓN;LICENCIATURA EN ENSEÑANZA DE LA LENGUA Y LITERATURA ESPAÑOLAS;11;2;9;11;0;4;4;2;9;11;0;0;0
