ENTIDAD FEDERATIVA;NOMBRE PROGRAMA EDUCATIVO;Matrícula Mujeres;Matrícula Hombres;Matrícula Total;Nuevo Ingreso Mujeres;Nuevo Ingreso Hombres;Nuevo Ingreso Total;Egresados Mujeres;Egresados Hombres;Egresados Total;Titulados Mujeres;Titulados Hombres;Titulados Total
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN;18;24;42;7;9;16;6;6;12;9;8;17
AGUASCALIENTES;INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES;78;154;232;15;19;34;17;37;54;2;6;8
AGUASCALIENTES;INGENIERÍA FINANCIERA Y FISCAL;0;0;0;0;0;0;1;1;2;0;0;0
AGUASCALIENTES;INGENIERÍA FISCAL Y FINANCIERA;0;0;0;0;0;0;1;1;2;0;0;0
AGUASCALIENTES;INGENIERÍA INDUSTRIAL;1048;1956;3004;255;496;751;151;212;363;61;83;144
AGUASCALIENTES;INGENIERÍA INDUSTRIAL EN PRODUCCIÓN;11;31;42;0;1;1;0;2;2;0;2;2
AGUASCALIENTES;INGENIERÍA INDUSTRIAL ESTADÍSTICO;91;107;198;19;20;39;6;17;23;5;19;24
AGUASCALIENTES;INGENIERÍA INDUSTRIAL Y DE SISTEMAS;37;56;93;6;9;15;11;12;23;9;10;19
AGUASCALIENTES;INGENIERÍA INDUSTRIAL Y DESARROLLO ORGANIZACIONAL;103;290;393;53;149;202;9;18;27;0;0;0
AGUASCALIENTES;INGENIERÍA MECÁNICA;0;0;0;0;0;0;0;1;1;0;5;5
AGUASCALIENTES;INGENIERÍA MECÁNICA AUTOMOTRIZ;36;382;418;16;161;177;4;90;94;4;46;50
AGUASCALIENTES;INGENIERÍA QUÍMICA;0;0;0;0;0;0;0;0;0;0;2;2
AGUASCALIENTES;INGENIERÍA ROBÓTICA;52;203;255;14;49;63;4;23;27;4;20;24
AGUASCALIENTES;LICENCIATURA ASESOR PSICOPEDAGÓGICO;165;13;178;41;4;45;35;5;40;31;5;36
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN;628;352;980;136;69;205;101;41;142;52;33;85
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS;1447;1120;2567;513;334;847;146;134;280;100;96;196
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE LA MERCADOTECNIA;33;34;67;8;9;17;4;4;8;5;3;8
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE LA PRODUCCIÓN Y SERVICIOS;85;70;155;14;25;39;25;17;42;22;14;36
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE NEGOCIOS DE COMUNICACIÓN Y ENTRETENIMIENTO;19;9;28;13;3;16;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE NEGOCIOS DE TURISMO Y HOSPITALIDAD;2;1;3;2;0;2;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES;14;30;44;5;11;16;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN FINANCIERA;198;172;370;24;35;59;42;45;87;43;34;77
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN PÚBLICA;22;16;38;19;15;34;3;3;6;3;3;6
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y DIRECCIÓN;50;68;118;7;11;18;4;5;9;8;7;15
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS FAMILIARES;2;2;4;0;0;0;2;2;4;0;0;0
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y DIRECCIÓN EMPRESARIAL;77;62;139;17;19;36;1;3;4;1;3;4
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y FINANZAS;56;76;132;11;11;22;11;10;21;4;7;11
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y GESTIÓN EMPRESARIAL;71;86;157;18;30;48;12;16;28;7;1;8
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y GESTIÓN FISCAL DE PYMES;133;69;202;25;17;42;22;8;30;16;4;20
AGUASCALIENTES;LICENCIATURA EN ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES;72;52;124;15;11;26;19;4;23;15;4;19
AGUASCALIENTES;LICENCIATURA EN AGRONEGOCIOS;50;89;139;10;16;26;9;15;24;8;11;19
AGUASCALIENTES;LICENCIATURA EN ANÁLISIS QUÍMICO BIOLÓGICOS;0;0;0;0;0;0;13;2;15;17;4;21
AGUASCALIENTES;LICENCIATURA EN ARQUITECTURA;174;322;496;64;125;189;10;26;36;1;8;9
AGUASCALIENTES;LICENCIATURA EN ARQUITECTURA DE INTERIORES;15;1;16;9;1;10;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN ARTES CINEMATOGRÁFICAS Y AUDIOVISUALES;30;72;102;7;15;22;5;14;19;5;15;20
AGUASCALIENTES;LICENCIATURA EN ARTES ESCÉNICAS;54;23;77;16;10;26;14;2;16;15;2;17
AGUASCALIENTES;LICENCIATURA EN ARTES ESCÉNICAS Y AUDIOVISUALES;0;0;0;0;0;0;0;0;0;3;1;4
AGUASCALIENTES;LICENCIATURA EN ARTES VISUALES;84;50;134;24;7;31;12;7;19;0;4;4
AGUASCALIENTES;LICENCIATURA EN ATENCIÓN PREHOSPITALARIA;12;52;64;3;13;16;1;10;11;1;6;7
AGUASCALIENTES;LICENCIATURA EN BIOLOGÍA;121;77;198;27;22;49;19;11;30;18;7;25
AGUASCALIENTES;LICENCIATURA EN BIOTECNOLOGÍA;112;71;183;23;26;49;20;14;34;18;12;30
AGUASCALIENTES;LICENCIATURA EN CIENCIAS AMBIENTALES;19;8;27;0;0;0;11;3;14;9;4;13
